Printing schedules for 2023Q1   Current Date: 2023-9-9, 14:06:58

Always appear: A PROP TC
Can appear: IA G LP LI PAR

Mixing is enabled

Warning: remember to check if the schedule you want actually exists in https://www.fib.upc.edu/ca/estudis/graus/grau-en-enginyeria-informatica/horaris.
When there are equivalent lab groups, ONLY ONE (not necessarily the smallest number) is shown. Check if there are more should you need them.

	Monday		Tuesday		Wednesday	Thursday	Friday
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Monday		Tuesday		Wednesday	Thursday	Friday
8h	  -  		  -  		PAR 12L		  -  		  -  		
9h	  -  		  -  		PAR 12L		  -  		  -  		
10h	PROP 10T	  -  		A 10T		A 11P		PROP 32L	
11h	PROP 10T	  -  		A 10T		A 11P		PROP 32L	
12h	TC 11P		  -  		  -  		TC 11L		LI 10T		
13h	TC 11P		  -  		  -  		TC 11L		LI 10T		
14h	PAR 40T		  -  		  -  		LI 21L		  -  		
15h	PAR 40T		  -  		  -  		LI 21L		  -  		
16h	  -  		  -  		  -  		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Monday		Tuesday		Wednesday	Thursday	Friday
8h	  -  		  -  		PAR 12L		  -  		  -  		
9h	  -  		  -  		PAR 12L		  -  		  -  		
10h	TC 12P		  -  		A 10T		TC 12L		PROP 32L	
11h	TC 12P		  -  		A 10T		TC 12L		PROP 32L	
12h	PROP 30T	  -  		  -  		A 14P		LI 10T		
13h	PROP 30T	  -  		  -  		A 14P		LI 10T		
14h	PAR 40T		  -  		  -  		LI 21L		  -  		
15h	PAR 40T		  -  		  -  		LI 21L		  -  		
16h	  -  		  -  		  -  		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Monday		Tuesday		Wednesday	Thursday	Friday
8h	  -  		  -  		LP 12L		  -  		  -  		
9h	  -  		  -  		LP 12L		  -  		  -  		
10h	PROP 10T	  -  		A 10T		A 11P		PROP 13L	
11h	PROP 10T	  -  		A 10T		A 11P		PROP 13L	
12h	TC 11P		  -  		  -  		TC 11L		LI 10T		
13h	TC 11P		  -  		  -  		TC 11L		LI 10T		
14h	  -  		  -  		  -  		LI 21L		LP 20T		
15h	  -  		  -  		  -  		LI 21L		LP 20T		
16h	  -  		  -  		  -  		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

